--------------------
Filen ble åpnet på nytt.
--------------------
Filen ble åpnet på nytt.
12.30	48.20%	9.40	3.100	282070
12.30	48.20%	9.10	3.100	284360
12.30	48.20%	9.30	3.200	286647
12.30	48.30%	9.20	3.200	288934
12.30	48.50%	8.10	3.000	291221
12.20	48.60%	7.40	3.000	293509
12.20	48.70%	6.50	3.100	295796
12.30	48.60%	5.20	3.100	298084
12.20	48.70%	5.80	3.200	300370
12.20	48.70%	5.10	3.000	302657
12.20	49.00%	6.10	3.000	304945
12.20	49.20%	6.40	3.000	307231
12.20	49.60%	5.80	3.000	309518
12.20	49.90%	6.30	3.100	311805
12.20	50.10%	6.50	3.000	314092
12.10	50.20%	6.30	3.000	316380
12.10	50.30%	6.50	3.000	318667
12.10	50.40%	8.30	3.100	320957
12.10	50.70%	8.60	3.200	323245
12.10	51.50%	8.80	3.200	325531
12.00	52.20%	8.70	3.100	327819
12.00	52.90%	8.50	3.100	330106
11.90	53.40%	9.10	3.100	332394
11.90	53.90%	7.80	2.900	334681
11.90	54.40%	7.20	2.800	336968
11.90	54.70%	7.10	2.700	339256
11.80	54.90%	7.00	2.500	341542
11.80	55.00%	7.20	2.500	343829
11.70	55.10%	6.90	2.400	346117
11.70	55.00%	6.70	2.400	348404
11.70	54.90%	5.10	2.300	350691
11.70	54.90%	4.60	2.100	352978
11.70	54.80%	4.50	2.100	355267
11.60	54.60%	4.40	2.200	357557
11.70	54.40%	4.10	2.200	359843
11.60	54.00%	3.40	2.100	362131
11.60	53.60%	3.60	2.100	364418
11.60	53.10%	3.80	2.100	366705
11.60	52.70%	3.80	2.100	368992
11.60	52.30%	3.30	2.100	371278
11.60	52.00%	3.50	2.100	373566
11.60	51.70%	4.10	2.000	375854
11.60	51.50%	4.20	2.000	378141
11.60	51.30%	4.40	1.900	380428
11.50	51.10%	4.70	1.900	382714
11.60	50.90%	4.90	2.000	385002
11.60	50.70%	4.90	2.000	387289
11.60	50.50%	4.90	1.900	389576
11.60	50.30%	5.90	2.000	391864
11.60	50.10%	7.50	2.200	394190
11.60	49.90%	7.70	2.200	396477
11.60	49.90%	8.00	2.200	398765
11.60	49.90%	7.80	2.300	401052
11.60	49.90%	7.60	2.200	403339
11.60	50.00%	7.10	2.300	405626
11.60	50.00%	6.70	2.400	407914
11.60	50.00%	6.30	2.500	410201
11.60	49.90%	6.30	2.600	412487
11.50	49.80%	6.30	2.600	414774
11.50	49.70%	6.40	2.500	417061
11.50	49.70%	6.40	2.600	419348
11.50	49.60%	5.70	2.600	421636
11.60	49.60%	4.10	2.400	423923
11.60	49.40%	3.90	2.500	426210
11.50	49.40%	3.60	2.500	428497
11.50	49.30%	3.60	2.500	430788
11.50	49.30%	3.60	2.600	433076
11.50	49.40%	4.50	2.600	435362
11.50	49.50%	5.60	2.600	437650
11.50	49.60%	5.80	2.600	439937
11.50	49.60%	6.80	2.700	442223
11.50	49.70%	6.90	2.800	444511
11.50	49.80%	7.00	2.900	446797
11.50	49.90%	7.70	3.100	449085
11.50	50.00%	7.50	3.100	451372
11.50	50.10%	7.50	3.100	453658
11.40	50.20%	7.40	3.100	455946
11.40	50.30%	7.70	3.200	458232
11.40	50.40%	8.00	3.300	460520
11.40	50.50%	7.70	3.300	462808
11.40	50.50%	7.10	3.400	465094
11.40	50.50%	5.90	3.300	467385
11.40	50.50%	5.90	3.200	469672
11.40	50.40%	4.90	3.100	471960
11.40	50.40%	4.50	3.000	474247
11.40	50.20%	4.30	3.000	476534
11.40	50.10%	3.60	2.700	478822
11.40	50.00%	3.70	2.700	481108
11.40	50.00%	4.10	2.700	483396
11.40	49.90%	4.00	2.700	485683
11.40	49.90%	3.80	2.600	487969
11.40	49.90%	3.50	2.500	490257
11.40	49.90%	3.00	2.200	492544
11.30	49.90%	2.80	2.200	494831
11.40	49.90%	2.90	2.100	497118
11.40	50.00%	2.50	2.100	499404
11.40	50.10%	2.90	2.100	501691
11.30	50.20%	3.00	2.100	503982
11.30	50.20%	3.20	2.100	506269
11.30	50.30%	6.10	2.200	508558
11.30	50.30%	6.70	2.200	510845
11.30	50.40%	8.00	2.400	513132
11.30	50.70%	9.60	2.500	515420
11.30	51.00%	10.70	2.600	517706
11.20	51.30%	11.80	2.800	519994
11.20	51.60%	13.90	3.300	522281
11.20	52.00%	14.30	3.400	524569
11.20	52.50%	15.10	3.500	526856
11.20	53.20%	15.30	3.600	529154
11.10	53.90%	15.80	3.800	531440
11.10	54.50%	15.90	3.900	533728
11.10	55.10%	15.70	4.000	536015
11.10	55.60%	13.50	3.900	538302
11.10	56.00%	13.20	3.900	540594
11.00	56.50%	13.00	3.800	542880
11.00	56.90%	11.90	3.800	545169
10.90	57.20%	10.80	3.800	547456
10.90	57.50%	9.90	3.700	549743
10.90	57.80%	8.40	3.600	552045
10.90	57.80%	7.80	3.400	554333
10.80	57.10%	7.40	3.400	556619
10.80	56.80%	8.20	3.400	558907
10.80	56.70%	8.80	3.300	561193
10.80	56.70%	9.30	3.400	563481
10.70	57.10%	9.90	3.600	565769
10.70	57.40%	10.40	3.700	568055
10.70	57.60%	10.60	3.700	570343
10.70	57.50%	10.40	3.800	572631
10.70	57.40%	10.20	3.700	574917
10.70	57.40%	10.50	3.700	577208
10.60	57.60%	10.40	3.600	579495
10.60	57.70%	10.60	3.700	581783
10.60	57.70%	10.50	3.700	584071
10.60	57.70%	10.80	3.700	586358
10.60	57.70%	10.00	3.800	588646
10.60	57.70%	9.10	3.700	590969
10.60	57.60%	8.60	3.700	593257
10.50	57.60%	8.30	3.500	595544
10.50	57.50%	7.40	3.400	597831
10.50	57.30%	8.90	3.300	600119
10.50	57.20%	7.70	3.300	602405
10.50	57.20%	7.60	3.300	604693
10.50	57.10%	7.10	3.300	606980
10.50	56.40%	7.30	3.400	609266
10.50	55.50%	7.20	3.300	611557
10.50	54.80%	7.00	3.200	613844
10.50	54.40%	6.60	3.200	616132
10.50	54.00%	6.80	3.100	618420
10.40	53.60%	6.40	3.000	620706
10.50	53.30%	6.60	3.000	622993
10.50	53.20%	6.50	3.000	625280
10.50	53.00%	7.90	3.000	627567
10.50	52.90%	6.20	3.000	629855
10.50	52.80%	7.00	3.000	632141
10.40	52.70%	7.10	3.000	634428
10.40	53.10%	7.20	3.100	636716
10.40	53.20%	7.40	3.100	639003
10.40	53.20%	8.40	3.100	641290
10.40	53.10%	9.00	3.200	643576
10.40	53.00%	9.30	3.100	645864
10.40	53.00%	9.00	3.100	648155
10.40	52.90%	9.10	3.200	650442
10.40	52.80%	8.80	3.100	652734
10.40	52.70%	8.80	3.100	655021
10.40	52.70%	7.40	3.000	657308
10.40	52.70%	7.20	3.000	659596
10.40	52.70%	6.30	2.900	661882
10.40	52.70%	6.40	2.900	664170
10.40	52.60%	7.30	2.900	666458
10.40	52.70%	7.20	2.900	668745
10.30	52.70%	6.20	2.900	671032
10.30	52.70%	5.70	2.800	673330
10.40	52.70%	7.00	3.000	675616
10.30	52.80%	6.90	2.900	677904
10.30	52.90%	7.30	2.900	680192
10.30	52.90%	7.60	3.100	682478
10.30	52.90%	7.50	3.100	684769
10.30	52.90%	7.70	3.100	687056
10.30	53.00%	7.90	3.200	689343
10.30	53.40%	8.40	3.300	691630
10.30	53.60%	9.20	3.300	693917
10.30	53.80%	8.50	3.400	696204
10.30	53.90%	8.40	3.300	698491
10.30	54.30%	8.60	3.400	700779
10.20	55.00%	10.00	3.600	703067
10.20	55.80%	9.10	3.700	705353
10.20	56.50%	9.80	4.000	707641
10.20	57.20%	9.40	4.100	709927
10.20	57.70%	10.40	4.200	712215
10.10	58.20%	10.90	4.300	714502
10.10	58.60%	10.60	4.400	716789
10.00	59.00%	10.40	4.400	719077
10.00	59.40%	10.00	4.300	721367
9.90	59.80%	9.70	4.300	723653
9.90	60.30%	9.50	4.200	725941
9.80	60.60%	10.10	4.200	728227
9.80	61.10%	10.10	4.200	730515
9.70	61.40%	8.60	4.100	732803
9.70	61.80%	8.10	3.900	735090
9.70	62.20%	7.70	3.700	737377
9.60	62.50%	7.50	3.600	739663
9.60	62.70%	6.20	3.300	741951
9.60	62.90%	5.80	3.200	744238
9.50	62.90%	5.30	3.100	746525
9.50	63.00%	5.50	3.100	748812
9.50	63.10%	5.70	3.100	751099
9.50	63.20%	5.10	3.100	753386
9.50	63.10%	5.30	3.100	755674
9.50	63.10%	4.70	3.000	757961
9.50	63.10%	5.70	3.200	760252
9.40	63.00%	6.70	3.100	762540
9.50	62.80%	6.20	3.000	764826
9.40	62.60%	6.10	2.900	767114
9.40	62.50%	6.10	2.900	769400
9.40	62.20%	5.70	2.800	771688
9.40	61.70%	5.90	2.800	773975
9.40	61.20%	5.90	2.800	776262
9.40	60.50%	5.60	2.800	778549
9.40	60.10%	5.20	2.700	780836
9.40	59.60%	5.60	2.700	783124
9.40	59.30%	5.40	2.600	785412
9.40	59.00%	4.90	2.600	787735
9.40	58.80%	4.40	2.400	790023
9.40	58.60%	3.50	2.300	792310
9.50	58.40%	3.50	2.400	794607
9.40	58.10%	4.10	2.400	796898
9.40	57.90%	4.40	2.500	799185
9.40	57.70%	4.70	2.500	801472
9.40	57.50%	4.40	2.400	803759
9.40	57.40%	4.40	2.300	806046
9.40	57.40%	4.50	2.300	808333
9.40	57.40%	5.30	2.300	810619
9.40	57.60%	5.50	2.300	812907
9.40	57.80%	6.30	2.400	815195
9.40	58.00%	6.60	2.500	817482
9.40	58.00%	6.20	2.500	819769
9.40	58.20%	6.20	2.600	822055
9.40	58.30%	6.70	2.700	824342
9.40	58.10%	6.50	2.600	826630
9.40	57.70%	6.60	2.500	828916
9.40	57.40%	6.30	2.600	831204
9.40	57.10%	7.20	2.800	833490
9.40	56.80%	7.50	2.900	835780
9.40	56.50%	7.90	3.000	838068
9.40	56.40%	8.00	3.000	840355
9.40	56.40%	7.20	2.900	842642
9.40	56.40%	8.20	3.000	844930
9.40	56.10%	8.10	3.000	847216
9.40	55.80%	8.20	3.100	849503
9.40	55.60%	8.10	3.000	851790
9.40	55.50%	8.00	3.000	854078
9.40	55.40%	7.60	3.000	856366
9.40	55.20%	7.30	3.000	858652
9.40	55.20%	7.40	3.000	860939
9.40	55.20%	6.90	3.000	863225
9.40	55.20%	7.10	2.900	865512
9.40	55.40%	7.40	2.900	867799
9.40	55.50%	6.70	2.900	870085
9.40	55.60%	6.80	3.000	872376
9.40	55.70%	5.60	3.000	874663
9.40	55.90%	6.00	3.200	876950
9.40	56.30%	7.20	3.300	879238
9.40	56.60%	7.20	3.300	881525
9.40	56.80%	8.70	3.500	883812
9.40	57.10%	9.60	3.800	886098
9.40	57.90%	10.00	4.000	888385
9.40	58.60%	10.80	4.000	890673
9.30	59.20%	11.20	4.200	892959
9.30	59.70%	10.50	4.200	895247
9.30	60.20%	10.20	4.200	897534
9.30	60.80%	10.60	4.300	899821
9.30	61.40%	11.10	4.200	902109
9.30	61.90%	13.00	4.200	904395
9.30	62.40%	12.70	3.900	906683
9.30	62.70%	12.00	3.900	908974
9.20	63.00%	13.20	4.000	911261
9.20	63.60%	12.70	3.900	913549
9.20	63.90%	12.50	3.900	915835
9.10	63.90%	12.40	4.000	918123
9.10	63.90%	12.90	4.000	920411
9.10	63.80%	13.50	4.000	922698
9.10	63.70%	14.80	4.100	924985
9.10	63.80%	15.00	4.100	927272
9.10	63.90%	15.00	4.100	929559
9.10	63.90%	15.20	4.200	931847
9.10	64.00%	13.50	4.200	934134
9.10	63.70%	13.90	4.200	936422
9.00	63.20%	13.70	4.200	938718
9.00	62.70%	12.10	4.100	941005
9.00	62.30%	11.20	4.100	943292
9.00	61.90%	10.50	4.000	945583
9.00	61.50%	11.00	3.800	947869
9.00	61.20%	9.90	3.800	950157
9.00	60.80%	10.20	3.800	952443
9.00	60.50%	9.50	3.800	954731
9.00	60.20%	9.70	3.800	957019
9.00	59.90%	9.80	3.900	959305
9.00	59.70%	9.30	4.000	961593
9.00	59.60%	9.40	3.900	963879
9.00	59.50%	8.80	3.900	966166
8.90	59.40%	8.70	3.900	968454
9.00	59.40%	9.30	4.100	970741
9.00	59.40%	8.90	4.000	973028
9.00	59.70%	9.10	4.000	975314
8.90	60.60%	8.60	4.000	977601
8.90	61.50%	10.90	4.000	979888
8.90	62.20%	11.10	4.000	982175
8.90	62.50%	12.30	4.000	984502
